Start,End,Hours,Quality
0.035416667,0.381944444,0.346527778,0.39
0.949305556,0.290277778,0.340972222,0.28282827
0.953472222,0.316666667,0.363194444,0.3809524
0.980555556,0.302083333,0.321527778,0.3655914
0.979166667,0.33125,0.352083333,0.4117647
0.99375,0.307638889,0.313888889,0.52747256
0.043055556,0.348611111,0.305555556,0.32954547
0.341666667,0.392361111,0.050694444,0.4
0.05625,0.3375,0.28125,0.24390244
0.969444444,0.334722222,0.365277778,0.43396226
0.996527778,0.323611111,0.327083333,0.47368422
0.965972222,0.304166667,0.338194444,0.37755102
0.977083333,0.296527778,0.319444444,0.39130434
0.975694444,0.298611111,0.322916667,0.40860215
0.054166667,0.322916667,0.26875,0.41025642
0.979861111,0.334027778,0.354166667,0.2647059
0.292361111,0.322222222,0.029861111,0.52380955
0.974305556,0.292361111,0.318055556,0.38043478
0.952083333,0.333333333,0.38125,0.44545454
0.965277778,0.29375,0.328472222,0.2
0.986805556,0.327777778,0.340972222,0.36363637
0.972222222,0.295138889,0.322916667,0.29032257
0.086805556,0.378472222,0.291666667,0.26190478
0.077777778,0.431944444,0.354166667,0.29126215
0.983333333,0.320138889,0.336805556,0.41237113
0.975,0.309027778,0.334027778,0.4329897
0.992361111,0.309722222,0.317361111,0.45652175
0.994444444,0.297222222,0.302777778,0.39772728
0.0625,0.416666667,0.3125,0.53846157
0.027777778,0.39375,0.365972222,0.3773585
0.961111111,0.300694444,0.339583333,0.36734694
0.983333333,0.313888889,0.330555556,0.34375
0.966666667,0.297916667,0.33125,0.30208334
0.985416667,0.311111111,0.325694444,0.29787233
0.964583333,0.315972222,0.351388889,0.38235295
0.979166667,0.304861111,0.325694444,0.26595744
0.044444444,0.372222222,0.327777778,0.29473683
0.006944444,0.340972222,0.334027778,0.49484536
0.98125,0.3375,0.35625,0.407767
0.995833333,0.285416667,0.289583333,0.5119048
0.936805556,0.275694444,0.338888889,0.35714287
0.983333333,0.3,0.316666667,0.36956522
0.028472222,0.340277778,0.311805556,0.34444445
0.986805556,0.339583333,0.352777778,0.37254903
0.975,0.3,0.325,0.20212767
0.968055556,0.311111111,0.343055556,0.3131313
0.971527778,0.311805556,0.340277778,0.3877551
0.004861111,0.329166667,0.324305556,0.42553192
0.028472222,0.330555556,0.302083333,0.41379312
0.90625,0.170138889,0.263888889,0.27631578
0.956944444,0.284722222,0.327777778,0.4631579
0.911805556,0.19375,0.281944444,0.42682928
0.959027778,0.297916667,0.338888889,0.45918366
0.94375,0.3,0.35625,0.48863637
0.020138889,0.333333333,0.313194444,0.40625
0.991666667,0.333333333,0.341666667,0.31034482
0.959027778,0.325694444,0.366666667,0.5959596
0.961805556,0.338194444,0.376388889,0.61728394
0.970138889,0.327777778,0.357638889,0.5568182
0.974305556,0.315972222,0.341666667,0.42857143
0.9875,0.322916667,0.335416667,0.5903614
0.019444444,0.389583333,0.370138889,0.57
0.007638889,0.340277778,0.332638889,0.5365854
0.965972222,0.339583333,0.373611111,0.61728394
0.994444444,0.332638889,0.338194444,0.4939759
0.951388889,0.313888889,0.3625,0.5102041
0.999305556,0.313888889,0.314583333,0.46391752
0.978472222,0.375694444,0.397222222,0.5697674
0.960416667,0.334027778,0.373611111,0.5925926
0.953472222,0.274305556,0.320833333,0.42424244
0.959722222,0.333333333,0.373611111,0.60493827
0.975,0.316666667,0.341666667,0.5952381
0.989583333,0.339583333,0.35,0.60465115
0.979861111,0.311111111,0.33125,0.47560975
0.984722222,0.316666667,0.331944444,0.5
